NOME,POSIZIONE,X,Y
01. Duc,Viale Mentana,44.807117535291800,10.332933962345100
02. Ospedale Maggiore,Via Abbeveratoia,44.80226318269330,10.306275486946100
03. Traversetolo,Parcheggio Scambiatore,44.78159516206970,10.344491600990200
04. Campus Chimica,Dipartimento Chimica,44.76643302086220,10.314547419548000
05. Stazione FF.SS.,Piazzale dalla Chiesa,44.80988763032780,10.327692925930000
06. Ponte di Mezzo,Viale Toscanini,44.80202845964040,10.324243306948500
07. Santa Croce,Piazzale Santa Croce,44.80406447882600,10.314442813396400
08. Bixio,Piazzale Barbieri,44.79634967606430,10.317876620021200
09. Farini,Barriera Farini,44.795387317466800,10.327643521108200
10. Barilla Center,Via Emilia Est,44.79841565101590,10.340687531816100
11. Dus,Parcheggio Dus,44.80597482052390,10.33607937843470
12. Barezzi,Piazzale Barezzi,44.802875991282000,10.32688558101650
13. Borgo XX Marzo,Battistero,44.80276722630650,10.33050388097760
14. Garibaldi,Piazza Garibaldi,44.80123737983600,10.328924059867800
15. Repubblica,Strada della Repubblica,44.800086898347000,10.33481553196900
16. Toschi,Viale Toschi,44.805984009085100,10.325475922614900
17. Rondani,Piazzale Rondani,44.79825794247250,10.322102087243300
18. Crocetta,Via Emilia Ovest,44.807424535882000,10.297198236896800
19. Boito,Piazzale Boito,44.79980823818540,10.325119255560200
20. Efsa,Viale Piacenza,44.80942430247720,10.321884651546800
21. Kennedy,Vicolo S. Maria,44.80472873089970,10.317976961393600
22. Cittadella,Via Passo Buole,44.79395874575070,10.330952507427100
23. Vittoria,Strada del Quartiere,44.80057561836470,10.313930499162600
24. Campus,Via Usberti,44.76646635739820,10.319646294165000
25. Ospedale • viale Osacca,Viale Osacca/Via Gramsci,44.805347141635100,10.309866973558600
26. Palasport,Via Silvio Pellico c/o civ. 13A,44.79497256970450,10.304889647885100
27. Ostello Gioventù,Via San Leonardo,44.82233870132570,10.334896087944000
28. Bizzozero,V.le Bizzozero,44.78740328811430,10.329432725794900
29. Villetta,Parcheggio V.le Villetta,44.79133530494230,10.314940380460700
30. Auditorium Paganini,Via Toscana,44.80317673977860,10.344601967042500
31. Lauro Grossi,Parcheggio P.zza Lago Santo,44.788515129490600,10.321014193778900
32. Stadio,V.le Partigiani d’Italia,44.796161335820500,10.336588422723300
33. Cavagnari,Via La Spezia,44.786319841837500,10.297678691887600
34. Ospedale • via Volturno,Via Volturno c/o civ. 39,44.7978691786981,10.308025262602300
35. Marsala,Piazzale Marsala,44.794380252093700,10.321992638066700
36. Campus Ingegneria,Parco Area delle Scienze – Ingegneria Didattica,44.76509738171330,10.310802567910200
37. Campus Mensa,Parco Area delle Scienze – Cappella Universitaria,44.765261157301900,10.306991392826600
38. Stazione FF.SS. 2,piazzale Dalla Chiesa,44.80997760049300,10.327757594137100
39. Rustici,viale Rustici,44.79171289811520,10.32494187704340
40. Langhirano,strada Langhirano,44.78256949125510,10.324213505846400
41. Carmignani,via Carmignani,44.78139588828700,10.31936526193000
42. Pastrengo,piazza Occorsio,44.783464264201700,10.328950287294100
43. Del Taglio,via del Taglio - Facoltà di Veterinaria,44.81881814540110,10.309896469116200
44. Vasari,via Vasari - Dipartimento di Sanità Pubblica,44.81435828748130,10.319906473159700
45. Passo della Cisa,via Passo della Cisa / via Scarabelli Zunti,44.79646465074760,10.354549884796100
46. Lubiana,piazzale Lubiana / via Marzaroli,44.791958649754200,10.352602601051300
